strike,lastPrice
50.0,156.73
55.0,155.19
60.0,143.45
65.0,155.12
70.0,143.7
75.0,136.52
80.0,139.35
85.0,141.17
90.0,125.95
95.0,125.2
100.0,118.0
105.0,111.35
110.0,109.69
115.0,112.0
120.0,98.42
125.0,92.58
130.0,89.82
135.0,94.01
140.0,77.2
145.0,73.59
150.0,67.63
155.0,62.95
160.0,58.45
165.0,54.62
170.0,50.13
175.0,45.78
180.0,41.25
185.0,37.2
190.0,33.51
195.0,29.95
200.0,26.69
205.0,23.47
210.0,20.47
215.0,17.98
220.0,15.54
225.0,13.5
230.0,11.65
235.0,10.05
240.0,8.53
245.0,7.3
250.0,6.15
255.0,5.29
260.0,4.44
265.0,3.75
270.0,3.2
275.0,2.72
280.0,2.34
285.0,1.95
290.0,1.69
295.0,1.44
300.0,1.24
310.0,0.95
320.0,0.72
330.0,0.56
340.0,0.45
350.0,0.37
360.0,0.31
370.0,0.25
380.0,0.2
390.0,0.13
400.0,0.08
410.0,0.11
420.0,0.1
430.0,0.15
440.0,0.1
450.0,0.05
455.0,0.15
460.0,0.17
