strike,lastPrice
110.0,200.96
115.0,196.04
120.0,189.43
125.0,183.15
130.0,180.93
135.0,176.01
140.0,170.77
145.0,165.9
150.0,160.98
155.0,153.05
160.0,150.89
165.0,145.89
170.0,139.45
175.0,134.53
180.0,137.12
185.0,123.18
190.0,118.05
195.0,116.21
200.0,111.2
205.0,102.97
210.0,99.4
215.0,96.5
220.0,90.4
225.0,84.73
230.0,80.9
235.0,75.85
240.0,71.59
245.0,66.05
250.0,61.89
255.0,55.74
260.0,51.11
265.0,46.61
270.0,40.58
275.0,35.63
277.5,30.35
280.0,31.28
282.5,23.76
285.0,26.3
287.5,27.65
290.0,21.4
292.5,19.09
295.0,16.4
297.5,13.51
300.0,11.4
302.5,8.98
305.0,6.15
307.5,3.85
310.0,1.65
312.5,0.25
315.0,0.04
317.5,0.01
320.0,0.01
322.5,0.01
325.0,0.01
327.5,0.01
330.0,0.01
332.5,0.01
335.0,0.01
337.5,0.01
340.0,0.01
342.5,0.01
345.0,0.01
347.5,0.01
350.0,0.01
352.5,0.01
355.0,0.01
357.5,0.03
360.0,0.01
365.0,0.01
370.0,0.01
375.0,0.01
380.0,0.03
385.0,0.01
390.0,0.01
395.0,0.01
400.0,0.01
405.0,0.06
410.0,0.01
415.0,0.08
420.0,0.01
430.0,0.01
440.0,0.04
450.0,0.03
460.0,0.03
470.0,0.03
480.0,0.06
490.0,0.12
500.0,0.08
510.0,0.02
520.0,0.46
530.0,0.14
540.0,0.04
550.0,0.01
560.0,0.01
570.0,0.06
580.0,0.18
590.0,0.14
600.0,0.01
